token,occurrence
der,77705
die,71068
und,56865
in,38843
von,26315
im,23291
den,23078
das,19309
des,18393
mit,15527
ist,14794
zu,13196
auf,13064
dem,11880
eine,11164
als,10760
sich,10191
für,9897
sind,9706
ein,9215
wurde,9105
auch,8433
an,8375
nach,8151
es,8076
aus,8039
bis,6639
bei,6108
werden,5952
am,5832
durch,5812
wird,5311
über,5039
einer,4977
zum,4907
seit,4772
wurden,4601
unter,4531
vor,4506
zur,4282
war,4256
nicht,4194
jahr,4110
oder,4000
1,3930
land,3918
etwa,3906
sie,3855
wie,3741
3,3610
um,3588
nur,3543
hat,3542
000,3400
bevölkerung,3367
einem,3264
sowie,3259
jahren,3217
einen,3212
jahre,3212
zwischen,3151
landes,2966
2,2924
prozent,2922
noch,2889
waren,2816
vom,2796
gibt,2684
5,2670
regierung,2551
dass,2430
aber,2362
jedoch,2357
diese,2271
4,2218
ab,2145
allem,2111
er,2099
6,2095
millionen,2075
de,2054
us,2020
mehr,1999
so,1984
7,1979
teil,1959
haben,1894
dieser,1850
während,1847
gegen,1827
8,1754
zwei,1727
2016,1716
staaten,1689
9,1652
2017,1627
rund,1623
0,1619
heute,1613
dollar,1603
eines,1570
einwohner,1569
liegt,1556
sehr,1543
isbn,1512
20,1483
wieder,1475
insel,1472
ersten,1461
viele,1444
jahrhundert,1443
zeit,1439
hatte,1433
republik,1421
drei,1415
damit,1408
weitere,1396
of,1364
2015,1364
da,1357
menschen,1356
km,1342
alle,1340
ihre,1331
pro,1315
ende,1308
leben,1276
deutschland,1266
anderen,1262
15,1244
staat,1237
inseln,1220
2010,1216
verfassung,1196
aufgrund,1185
große,1182
seine,1172
frauen,1171
10,1159
2006,1148
bereits,1137
kam,1135
2011,1132
2018,1119
keine,1111
ländern,1108
usa,1101
2008,1090
neben,1083
2005,1079
norden,1076
größte,1075
19,1074
seiner,1074
welt,1065
erste,1065
insgesamt,1063
januar,1057
2019,1051
bip,1049
stark,1045
stand,1043
2009,1041
großen,1039
gab,1036
2014,1030
süden,1028
2007,1026
allerdings,1009
man,1008
hauptstadt,1008
präsident,999
region,990
wirtschaft,981
anteil,977
betrug,977
was,966
geschichte,964
dezember,964
unabhängigkeit,964
18,964
dies,963
deren,960
denen,954
englisch,953
2012,952
fast,950
größten,949
europäischen,949
immer,948
eu,944
besteht,943
2013,941
30,941
platz,938
the,937
2004,926
davon,918
sein,912
kann,912
a,897
lag,894
einige,891
kultur,890
insbesondere,885
konnte,880
meisten,880
politische,879
parlament,876
gebiet,875
letzten,875
gilt,873
12,872
2020,860
ihrer,851
besonders,845
erst,843
frankreich,843
mai,842
milliarden,839
c,833
union,833
russland,832
beiden,827
gehören,827
vier,825
100,820
können,820
märz,819
november,818
stadt,816
oktober,815
sprache,814
m,813
17,811
städte,807
25,803
14,803
anderem,802
andere,801
internationalen,801
laut,796
april,794
jahrhunderts,790
zahlreiche,788
ca,786
2000,783
dabei,782
literatur,780
dort,779
16,775
juli,774
juni,772
neue,772
fünf,771
zweiten,771
politischen,770
s,769
ebenfalls,767
international,767
vereinigten,763
wegen,761
deutschen,756
september,753
partei,752
ihren,746
sprachen,746
gehört,743
11,743
china,736
ohne,735
13,735
euro,728
februar,727
entwicklung,727
weltweit,726
august,726
präsidenten,724
dazu,722
politik,718
978,717
wahlen,705
osten,699
zudem,698
2003,693
landwirtschaft,689
später,686
kilometer,683
bedeutung,683
zahl,683
personen,682
statt,680
ins,677
hier,674
schweiz,673
bzw,672
gewählt,670
al,666
mehrere,664
50,663
worden,659
la,659
zusammen,657
beziehungen,656
mrd,655
dessen,652
hatten,652
internationale,649
2002,642
40,641
gegenüber,639
dieses,637
meist,636
führte,635
weiter,634
wobei,630
bekannt,628
parteien,620
musik,619
westen,618
km²,618
regionen,616
grenze,614
deutsche,612
kirche,608
außerdem,607
v,606
neuen,606
diesem,603
beträgt,601
klima,600
wichtigsten,597
heutigen,594
länder,592
bildung,591
seinen,588
militär,588
europa,588
zurück,586
chr,583
städten,583
u,581
2001,579
schon,579
hälfte,577
rolle,575
darunter,571
anfang,566
b,565
mitte,565
indien,564
aller,564
iran,563
liegen,562
lange,562
staatliche,562
teilweise,559
and,556
kamen,550
21,548
2021,547
ihr,547
mitglied,545
macht,542
oft,542
befindet,541
knapp,538
hohe,538
österreich,535
soll,535
häufig,534
weniger,533
innerhalb,532
island,532
nachdem,531
küste,530
siehe,528
hohen,528
beim,525
begann,525
24,523
ausland,522
tourismus,519
23,518
staatlichen,518
wichtige,516
gegründet,515
diesen,515
1990,514
selbst,514
wirtschaftliche,513
einfluss,510
kommen,509
vielen,506
daneben,504
sechs,504
reich,503
60,500
geprägt,496
französischen,495
san,493
zunächst,489
1000,489
polen,488
könig,487
mehrheit,486
allen,486
kinder,485
28,484
wo,483
königreich,481
krieg,481
z,479
unternehmen,479
erstmals,478
männer,478
verfügt,477
un,476
zwar,476
beispiel,475
lage,473
finden,471
weiteren,471
französisch,470
höhe,469
deutsch,469
wirtschaftlichen,467
system,467
industrie,466
recht,464
weiterhin,463
22,463
sondern,463
nationale,462
sowohl,462
gruppen,462
nationen,461
israel,461
genannt,460
folge,460
trotz,459
infrastruktur,457
26,456
mio,456
wahl,453
weltkrieg,453
streitkräfte,452
tag,451
500,450
universität,449
27,449
provinz,448
arabischen,448
gebiete,444
verschiedene,444
deutlich,444
index,441
weit,440
italien,438
provinzen,438
konnten,437
namen,435
hauptsächlich,433
spanien,432
vergleich,430
schulen,429
je,428
medien,427
dann,427
eingeführt,426
welche,426
britischen,426
seinem,426
steht,426
europäische,426
bezeichnet,426
i,423
jährlich,423
teile,423
höchste,422
1991,422
1999,421
daher,419
verschiedenen,418
flughafen,417
200,416
türkei,416
ihnen,415
soldaten,415
wenn,414
80,414
höchsten,414
trat,414
1990er,411
herrschaft,410
stellen,409
japan,408
70,407
verbreitet,407
staatshaushalt,406
1998,405
gesellschaft,404
befinden,404
kommt,404
vereinten,404
ukraine,403
kaum,402
bisher,400
relativ,400
gewann,400
meer,400
beispielsweise,399
gut,398
nahm,397
erreichte,395
armee,394
d,394
einigen,394
russischen,392
gruppe,392
fläche,392
truppen,391
einzige,391
rahmen,390
islam,390
eigene,388
offiziell,388
religion,388
mitglieder,388
arten,387
premierminister,387
anzahl,386
gemeinden,385
1994,384
bestehen,384
jeweils,383
überwiegend,383
nationalen,383
sowjetunion,383
st,382
obwohl,381
zählen,380
internet,379
drittel,379
kleine,377
schließlich,375
eigenen,375
bilden,375
einwohnern,375
national,374
beginn,373
angaben,372
offizielle,372
weitgehend,372
großbritannien,371
brasilien,370
zehn,369
wichtigste,367
29,366
situation,362
amt,361
new,361
90,360
umgerechnet,359
erhielt,359
findet,359
ziel,359
organisation,358
ging,356
entstanden,355
gebieten,354
300,353
saudi,353
fußball,352
1995,351
stimmen,351
sieben,350
neuseeland,350
besitzt,348
sollen,348
entstand,346
staates,346
chile,345
ungarn,345
gesetz,344
beide,344
dar,344
31,342
erhalten,341
westlichen,341
hinaus,340
art,340
französische,340
gesamte,340
inzwischen,340
liste,338
umfasst,338
malta,338
gesamten,337
geschätzt,336
doch,336
blieb,336
35,336
wert,335
hoch,335
südlichen,335
touristen,333
revolution,333
bereich,333
gleichzeitig,333
öffentlichen,332
verwendet,332
mindestens,330
wahlrecht,330
kraft,330
kleinen,330
stieg,329
einnahmen,329
verlag,328
sollte,328
somit,328
zahlreichen,328
australien,328
ii,328
radio,328
afrika,328
frau,327
britische,327
1992,327
erster,326
ebene,325
meter,324
1996,324
betrieben,323
großer,322
wenige,321
kein,321
lebten,321
erreicht,320
flüsse,320
direkt,320
darüber,320
unterstützung,320
verwaltung,320
straßen,319
bau,318
mehreren,318
südafrika,317
bruttoinlandsprodukt,317
zentrum,316
pakistan,315
teilen,314
vertreten,313
1989,313
luxemburg,313
zählt,312
neu,312
ehemaligen,311
folgenden,311
mm,311
afrikanischen,310
slowakei,310
gesprochen,309
ebenso,308
form,307
müssen,306
el,306
minderheit,305
sport,305
hrsg,305
zuvor,305
venezuela,305
berlin,304
bedeutende,304
world,304
juden,304
sommer,303
1997,303
möglich,303
spielen,303
opposition,303
1980er,302
private,302
seite,302
erneut,301
russische,301
universitäten,301
volksrepublik,300
grenzen,299
indischen,299
setzte,299
west,299
machen,298
erdöl,298
kontrolle,297
kopf,297
erklärte,297
nimmt,296
wenig,296
kongo,296
mexiko,296
dafür,296
zunehmend,296
mal,294
religionen,294
kuba,293
acht,293
ganz,292
zusammenarbeit,292
portugal,292
eher,292
belegt,291
führt,291
bildet,291
argentinien,291
ihm,291
lebenserwartung,291
nationalpark,291
richtung,290
lediglich,289
arabien,288
umfasste,288
1993,288
weil,288
südlich,288
stehen,287
traditionelle,287
stellt,286
zweite,286
tonnen,286
öffentliche,284
zugang,282
sei,282
seitdem,282
entwickelte,282
größeren,281
amerikanischen,281
danach,280
christen,279
halbinsel,279
thailand,279
fand,278
zuge,276
bekannte,276
betrieb,275
führten,274
standen,274
nord,274
korruption,273
gebirge,273
nun,273
genutzt,273
hingegen,272
islamischen,272
1945,272
neun,272
minderheiten,271
islands,271
außenpolitik,271
ihrem,271
kolonie,270
university,270
offiziellen,269
e,269
muss,269
muslime,268
traditionellen,268
südkorea,268
afghanistan,268
heutige,267
großteil,267
entlang,267
ausgaben,266
schweizer,266
film,266
sitze,266
gesundheit,266
bestand,265
darauf,265
entspricht,264
45,264
ausländische,263
griechenland,262
dagegen,262
musste,261
h,261
kanada,261
derzeit,260
sogar,260
erreichen,260
größere,260
starke,259
vertreter,258
ungefähr,258
herrscht,258
kunst,258
bezeichnung,258
irak,257
früher,256
wasser,256
allgemeine,255
jahres,255
spanischen,255
400,255
status,254
dennoch,254
außerhalb,254
fanden,253
deshalb,252
lang,252
600,252
also,252
küche,251
liechtenstein,251
starken,251
wenigen,250
regelmäßig,249
erde,249
kurz,248
geht,248
winter,247
gewalt,247
1960er,247
regel,247
dadurch,247
name,247
hilfe,246
bürger,246
menschenrechte,246
damals,246
teils,245
länge,245
durchschnitt,245
75,245
sogenannten,245
hin,245
lebt,244
frauenwahlrecht,244
traditionell,244
organisationen,244
nordosten,244
produktion,243
existieren,243
vertrag,243
ausschließlich,243
schüler,242
entwickelt,242
lassen,241
polizei,241
olympischen,241
demokratische,241
nördlichen,241
etwas,241
schutz,240
unabhängig,240
1979,240
1970er,239
kolumbien,239
führung,239
erfolgte,239
gemäß,239
geographie,238
verboten,238
gelang,238
